"pid","filename.x","type.x","year","month","commits.x","mdegree.x","mdegree2.x","mbetween.x","mbetween2.x","mclose.x","mclose2.x","mweight.x","diameter.x","networksize.x","networksize2.x","age.x","density.x","connect.x","filename.y","type.y","commits.y","mdegree.y","mdegree2.y","mbetween.y","mbetween2.y","mclose.y","mclose2.y","mweight.y","diameter.y","networksize.y","networksize2.y","age.y","density.y","connect.y"
10909,"OssMMNet2004_1_10909.net","MM",2004,1,1561,0.375,0.141,0.9375,0.87890625,0.0159775,0.00025528050625,2.08333,5,64,4096,13,0.00595238,0.0208333,"OssPPNet2004_1_10909.net","PP",1561,4.143,17.163,17.9464,322.07327296,0.0397656,0.00158130294336,1.11207,6,56,3136,1,0.0753247,0.457792
10909,"OssMMNet2004_2_10909.net","MM",2004,2,2611,0.615,0.379,0.923077,0.852071147929,0.0131691,0.00017342519481,2.25,4,78,6084,14,0.00799201,0.024309,"OssPPNet2004_2_10909.net","PP",2611,5.207,27.112,18.1724,330.23612176,0.0424814,0.00180466934596,1.21192,5,58,3364,2,0.0913491,0.497278
10909,"OssMMNet2004_3_10909.net","MM",2004,3,1846,0.553,0.305,2.46053,6.0542078809,0.0138215,0.00019103386225,2.33333,5,76,5776,15,0.00736842,0.0421053,"OssPPNet2004_3_10909.net","PP",1846,6.441,41.482,20.5254,421.29204516,0.0519365,0.00269740003225,1.17895,5,59,3481,3,0.111046,0.579193
10909,"OssMMNet2004_4_10909.net","MM",2004,4,2131,0.727,0.529,1.46753,2.1536443009,0.0134846,0.00018183443716,2.21429,5,77,5929,16,0.00956938,0.0331511,"OssPPNet2004_4_10909.net","PP",2131,6.5,42.25,17.0469,290.59679961,0.0364584,0.00132921493056,1.16827,5,64,4096,4,0.103175,0.470238
10909,"OssMMNet2004_5_10909.net","MM",2004,5,1507,0.625,0.391,1.05,1.1025,0.0128647,0.00016550050609,2.28,4,80,6400,17,0.00791139,0.0256329,"OssPPNet2004_5_10909.net","PP",1507,5.406,29.228,20.5,420.25,0.0362395,0.00131330136025,1.19653,5,64,4096,5,0.0858135,0.470734
10909,"OssMMNet2004_6_10909.net","MM",2004,6,1353,0.462,0.213,1.01099,1.0221007801,0.0111827,0.00012505277929,2.14286,5,91,8281,18,0.00512821,0.0163614,"OssPPNet2004_6_10909.net","PP",1353,4.985,24.846,14.5077,210.47335929,0.0289727,0.00083941734529,1.14815,5,65,4225,6,0.0778846,0.377404
10909,"OssMMNet2004_7_10909.net","MM",2004,7,1592,0.632,0.399,1.12632,1.2685967424,0.0107853,0.00011632269609,2.1,4,95,9025,19,0.00671893,0.0219485,"OssPPNet2004_7_10909.net","PP",1592,4.464,19.925,24.4203,596.35105209,0.0346324,0.00119940312976,1.18182,5,69,4761,7,0.0656436,0.481671
10909,"OssMMNet2004_8_10909.net","MM",2004,8,1198,0.419,0.175,1.17442,1.3792623364,0.0119111,0.00014187430321,2.11111,4,86,7396,20,0.00492476,0.0216142,"OssPPNet2004_8_10909.net","PP",1198,4.185,17.511,18.5385,343.67598225,0.0300431,0.00090258785761,1.13971,5,65,4225,8,0.0653846,0.395673
10909,"OssMMNet2004_9_10909.net","MM",2004,9,1650,0.723,0.523,0.893617,0.798551342689,0.0109372,0.00011962234384,2.29412,3,94,8836,21,0.00777854,0.0244795,"OssPPNet2004_9_10909.net","PP",1650,5.072,25.73,18.8986,357.15708196,0.0302892,0.00091743563664,1.24,5,69,4761,9,0.0745951,0.423274
10909,"OssMMNet2004_10_10909.net","MM",2004,10,983,0.552,0.304,1.77011,3.1332894121,0.0119329,0.00014239410241,2.08333,4,87,7569,22,0.0064154,0.0326116,"OssPPNet2004_10_10909.net","PP",983,4.615,21.302,29.2615,856.23538225,0.0424371,0.00180090745641,1.16667,6,65,4225,10,0.0721154,0.542788
10909,"OssMMNet2004_11_10909.net","MM",2004,11,1376,0.182,0.033,0.204545,0.041838657025,0.0114216,0.00013045294656,2,4,88,7744,23,0.00208986,0.00496343,"OssPPNet2004_11_10909.net","PP",1376,4.955,24.554,26.7612,716.16182544,0.0361373,0.00130590445129,1.04819,6,67,4489,11,0.0750792,0.489824
10909,"OssMMNet2004_12_10909.net","MM",2004,12,976,0.169,0.028,0.0843373,0.00711278017129,0.0120917,0.00014620920889,2,3,83,6889,24,0.00205701,0.0035263,"OssPPNet2004_12_10909.net","PP",976,4.246,18.03,25.2154,635.81639716,0.0360224,0.00129761330176,1.04348,6,65,4225,12,0.0663462,0.476442
10909,"OssMMNet2005_1_10909.net","MM",2005,1,1442,0.205,0.042,0.371795,0.138231522025,0.0129231,0.00016700651361,2.125,5,78,6084,25,0.002664,0.00765901,"OssPPNet2005_1_10909.net","PP",1442,4.523,20.458,30.9231,956.23811361,0.0422954,0.00178890086116,1.06803,7,65,4225,1,0.0706731,0.542788
10909,"OssMMNet2005_2_10909.net","MM",2005,2,2415,0.267,0.071,0.12,0.0144,0.0134168,0.00018001052224,2.2,3,75,5625,26,0.0036036,0.00612613,"OssPPNet2005_2_10909.net","PP",2415,5.361,28.742,55.25,3052.5625,0.0634507,0.00402599133049,1.06736,7,72,5184,2,0.0755086,0.716354
